Keuwl Accelerometer Data File
2023-07-29 16:03:40

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.707677,-0.217747,9.873982,9.901704,4.288387,342.897278
0.0190134,0.789033,-0.316451,10.150951,10.186488,4.787288,338.146179
0.0380270,0.625125,-0.304487,10.119247,10.143109,3.930890,334.030151
0.0570404,0.610768,-0.342772,10.042677,10.067070,3.989389,330.698212
0.0760539,0.547956,-0.303888,9.895518,9.915336,3.623096,330.987915
0.0950674,0.449252,-0.200997,9.658628,9.671160,2.917053,335.896088
0.1140808,0.434896,-0.117248,9.621540,9.632077,2.680295,344.911743
0.1330943,0.326022,-0.192024,9.716655,9.724019,2.230024,329.502319
0.1521078,0.469591,-0.138784,9.962517,9.974544,2.813899,343.535400
0.1711212,0.619143,-0.098106,10.117453,10.136854,3.545471,350.996094
0.1901347,0.656232,-0.186640,10.200005,10.222796,3.826689,344.123596
0.2091482,0.819542,-0.258425,10.335797,10.371458,4.752667,342.498444
0.2281617,0.871586,-0.196211,10.222138,10.261105,4.994850,347.313080
0.2471751,0.829113,-0.218943,10.188639,10.224663,4.811005,345.207611
0.2661886,0.751346,-0.267398,10.189237,10.220400,4.475447,340.409790
0.2852021,0.786042,-0.305085,10.057631,10.092913,4.792114,338.787384
0.3042155,0.893121,-0.248255,10.073185,10.115747,5.257808,344.466003
0.3232290,0.753141,-0.145962,10.073783,10.102951,4.354826,349.031799
0.3422425,0.652642,-0.121436,10.108479,10.130254,3.757287,349.459625
0.3612559,0.461217,-0.129212,9.962517,9.974024,2.752500,344.349487
0.3802694,0.466002,-0.067597,10.102497,10.113465,2.668658,351.746368
0.3992829,-0.214158,0.346361,9.644272,9.652865,2.417837,121.728813
0.4182963,-0.057428,0.749552,10.535000,10.561787,4.081495,94.381218
0.4373098,0.714258,0.107677,11.132010,11.155420,3.712620,8.572999
0.4563233,0.343968,-0.144766,10.176675,10.183516,2.100216,337.175262
0.4753368,0.531805,-1.088136,7.590631,7.686647,9.065554,296.046143
0.4943502,0.122632,0.126221,8.635098,8.636891,1.167514,45.826324
0.5133637,0.295514,0.427119,9.428918,9.443213,3.152936,55.321541
0.5323772,0.442672,0.466600,9.634102,9.655547,3.819416,46.507435
0.5513906,0.379861,0.145364,10.027123,10.035369,2.322795,20.940708
0.5704040,0.057428,-0.123829,10.209576,10.210488,0.766172,294.880371
0.5894176,-0.038285,0.023330,10.473983,10.474078,0.244694,148.642914
0.6084310,0.357129,0.202792,10.608580,10.616526,2.216908,29.589609
0.6274444,0.664607,0.306879,10.347163,10.373026,4.046802,24.784948
0.6464580,0.699901,0.363709,10.037891,10.068833,4.492962,27.459009
0.6654715,0.576670,0.246461,9.763913,9.784032,3.674984,23.141182
0.6844848,0.528216,0.336790,9.571291,9.591770,3.744759,32.521549
0.7034984,0.479163,0.373280,9.510872,9.530248,3.654199,37.919529
0.7225118,0.402592,0.271585,9.413364,9.425883,2.953268,34.003262
0.7415253,0.443270,0.170489,9.390035,9.402038,2.895432,21.037512
0.7605389,0.296112,0.096909,9.548559,9.553641,1.868964,18.121861
0.7795523,0.340379,0.144168,9.899107,9.906006,2.138448,22.955090
0.7985657,0.289532,0.218345,10.406385,10.412702,1.995766,37.021126
0.8175793,0.221336,0.263211,10.634302,10.639861,1.852240,49.939217
0.8365927,0.247059,0.278764,10.474581,10.481202,2.036728,48.450516
0.8556061,0.232702,0.208774,10.236495,10.241268,1.749324,41.897575
0.8746195,0.196810,0.177069,10.065409,10.068890,1.506622,41.977589
0.8936331,0.315254,0.198006,9.917651,9.924636,2.149676,32.132252
0.9126466,0.360718,0.317647,9.873384,9.885077,2.786988,41.367050
0.9316600,0.272184,0.348754,9.692128,9.702220,2.613518,52.029884
0.9506735,0.368495,0.330210,9.637094,9.649788,2.939249,41.863640
0.9696869,0.395414,0.272184,9.667602,9.679512,2.842622,34.541618
0.9887004,0.463609,0.243470,9.751948,9.765997,3.073579,27.706717
1.0077139,0.480359,0.227916,9.915258,9.929503,3.069436,25.382973
1.0267274,0.563510,0.234497,10.132407,10.150774,3.447249,22.593946
1.0457408,0.586242,0.271585,10.130613,10.151195,3.649105,24.856653
1.0647544,0.480359,0.273380,10.045070,10.060264,3.149395,29.644888
1.0837678,0.342174,0.229711,10.064810,10.073244,2.344851,33.874596
1.1027813,0.298505,0.158524,10.171889,10.177503,1.903001,27.971079
1.1217947,0.213559,0.144168,10.222138,10.225385,1.443743,34.022106
1.1408081,0.202194,0.188435,10.061819,10.065615,1.573461,42.982758
1.1598216,0.375075,0.253041,9.953544,9.963821,2.602636,34.005222
1.1788350,0.318844,0.273978,9.834501,9.843482,2.447686,40.672043
1.1978487,0.272782,0.276371,9.707084,9.714848,2.290807,45.374474
1.2168621,0.279960,0.233300,9.814162,9.820926,2.126517,39.805573
1.2358756,0.321835,0.208176,10.025927,10.033251,2.189369,32.896412
1.2548890,0.355932,0.217149,10.102497,10.111097,2.363309,31.386702
1.2739024,0.412164,0.241077,10.068399,10.079716,2.715196,30.323608
48.8459854,0.473181,1.277767,10.675578,10.762182,7.273595,69.679482
48.8649979,0.552742,1.174876,10.711471,10.789878,6.911485,64.804497
48.8840103,0.724427,0.997209,10.899905,10.969373,6.451602,54.003292
48.9030228,0.934995,1.079761,10.677373,10.772483,7.619270,49.109795
48.9220352,0.386441,0.981057,10.916057,10.966864,5.517291,68.500397
48.9410515,0.175274,0.879961,11.249856,11.285580,4.560035,78.735016
48.9600639,0.512662,0.890130,11.401201,11.447382,5.148259,60.060604
48.9790764,0.868595,0.887139,11.397015,11.464441,6.217130,45.605148
48.9980927,0.927817,0.951147,11.181661,11.260331,6.776737,45.711372
49.0171051,0.872184,0.860220,10.598410,10.668972,6.593295,44.604317
49.0361176,0.227318,0.687936,10.703694,10.728188,3.872420,71.714645
49.0551338,-0.503689,0.719043,10.816754,10.852323,4.640090,125.011208
49.0741463,-0.302094,0.675374,10.974083,10.998995,3.856966,114.098892
49.0931587,0.160917,0.757328,10.887343,10.914838,4.067653,78.004181
49.1121750,-0.050249,0.879362,10.359726,10.397101,4.859663,93.270485
49.1311874,-0.042473,1.097109,10.378868,10.436779,6.038581,92.216995
49.1501999,-0.062812,0.954736,10.712667,10.755310,5.103844,93.764038
49.1692123,0.463609,0.350549,11.470593,11.485309,2.900633,37.093983
49.1882286,0.512662,0.120838,11.526825,11.538853,2.616288,13.262877
49.2072411,0.528216,0.184247,11.274981,11.288850,2.840418,19.229328
49.2262535,0.396012,0.223131,11.283355,11.292506,2.306814,29.398830
49.2452698,0.649651,0.235095,11.241481,11.262691,3.516860,19.894098
49.2642822,0.842274,0.261416,10.923235,10.958778,4.615880,17.242739
49.2832947,0.548555,0.113659,10.893325,10.907720,2.943907,11.705897
49.3023109,0.306281,-0.042473,10.674980,10.679458,1.659182,352.105042
49.3213234,0.455234,-0.145962,10.521241,10.532097,2.601658,342.222565
49.3403358,0.245863,-0.152542,10.443475,10.447482,1.586959,328.182953
49.3593521,0.223729,-0.256032,10.936396,10.941680,1.780812,311.147980
49.3783646,0.341575,-0.500698,11.148759,11.165222,3.111812,304.301758
49.3973770,0.310469,-0.432503,11.301900,11.314433,2.697040,305.672394
49.4163895,0.438485,-0.392423,11.822338,11.836974,2.849500,318.172974
49.4354057,0.681954,-0.238684,12.048460,12.070105,3.431823,340.709961
49.4544182,0.383450,-0.464806,11.338390,11.354390,3.042017,309.521545
49.4734306,-0.051446,-0.643669,10.158729,10.179230,3.637012,265.430298
49.4924469,0.337986,-0.713659,10.063614,10.094546,4.486549,295.342041
49.5114594,0.562912,-0.741775,10.262218,10.304379,5.184704,307.193817
49.5304718,0.652642,-0.806381,11.006984,11.055762,5.384159,308.984894
49.5494881,0.639482,-0.859622,11.644671,11.693855,5.256802,306.645966
49.5685005,0.711865,-0.974477,11.658430,11.720723,5.909793,306.148499
49.5875130,0.495314,-0.949951,11.417354,11.467506,5.360560,297.538025
49.6065292,0.422333,-0.934397,10.926825,10.974833,5.361108,294.322235
49.6255417,0.393021,-0.999003,10.853246,10.906210,5.648959,291.475342
49.6445541,0.477966,-1.091127,11.157732,11.221140,6.093906,293.655731
49.6635704,0.580858,-1.110270,11.771491,11.837995,6.076090,297.617126
49.6825829,0.296710,-1.153939,10.904691,10.969589,6.235550,284.419983
49.7015953,0.247657,-1.177269,10.667802,10.735422,6.434193,281.879852
49.7206078,0.417548,-1.177867,10.923235,10.994489,6.526633,289.519135
49.7396240,0.458226,-1.122832,10.757532,10.825674,6.431999,292.200287
49.7586365,0.506680,-1.101297,10.780863,10.848805,6.415699,294.706024
49.7776489,0.596411,-1.179063,10.964512,11.043840,6.871525,296.831879
49.7966652,0.572483,-1.242473,11.135598,11.219315,7.003731,294.738403
49.8156776,0.500698,-1.207777,11.075778,11.152680,6.732370,292.517029
