Ra	Dec
0	-26.56505118
175.595096	-26.36828287
171.2539137	-26.04131869
167.0001865	-25.59253556
162.8542876	-25.0325165
158.8327749	-24.37342336
154.9482412	-23.62835154
151.2094308	-22.81072522
147.621557	-21.93377522
144.1867485	-21.01012344
140.9045577	-20.05148091
137.7724773	-19.06845372
134.7864264	-18.07044251
131.941184	-17.06561758
129.2307573	-16.06095051
126.6486837	-15.06228497
124.1882706	-14.07443187
121.8427793	-13.10127698
119.6055614	-12.14589246
117.4701566	-11.21064594
115.4303591	-10.29730324
113.4802602	-9.407122314
111.614272	-8.540937458
109.8271376	-7.699233301
108.1139316	-6.882209062
106.4700528	-6.089833631
104.8912131	-5.321892344
103.3734225	-4.578026347
101.9129729	-3.857765487
100.5064207	-3.160555582
99.15056919	-2.48578088
97.84245146	-1.832782446
96.57931357	-1.200873096
95.35859866	-0.5893494435
94.17793193	0.002498459
93.03510654	0.5753794764
91.92807047	1.1299954
90.85491433	1.667036316
89.81386019	2.18717708
88.80325117	2.691074709
87.8215419	3.179366503
86.86728983	3.652668763
85.93914718	4.111575988
85.03585361	4.556660458
84.15622946	4.988472112
83.29916964	5.407538668
82.46363793	5.814365928
81.64866186	6.209438217
80.85332794	6.593218937
80.07677736	6.966151189
79.31820198	7.328658455
78.5768407	7.681145309
77.8519761	8.02399815
77.14293139	8.357585952
76.44906755	8.682260996
75.76978075	8.99835961
75.10449998	9.306202889
74.45268478	9.606097394
73.81382328	9.898335837
73.18743029	10.18319774
72.57304557	10.46095006
71.97023225	10.73184783
71.37857533	10.99613469
70.7976803	11.2540435
70.22717192	11.50579682
69.66669301	11.75160749
69.11590333	11.99167902
68.57447864	12.22620613
68.0421097	12.45537513
67.51850142	12.67936439
67.00337202	12.89834467
66.49645231	13.11247953
65.99748495	13.3219257
65.5062238	13.52683337
65.0224333	13.72734654
64.5458879	13.92360329
64.07637151	14.11573611
63.61367702	14.30387214
63.15760579	14.4881334
62.70796725	14.66863711
62.26457845	14.84549583
61.82726368	15.01881774
