Ra	Dec
101.3099325	-38.1129265
100.5692091	-36.26721263
99.91542373	-34.55818159
99.33259346	-32.96989086
98.80851822	-31.48876188
98.33371545	-30.10317802
97.90069645	-28.80315423
97.50346309	-27.58006704
97.13715016	-26.4264338
96.79776659	-25.33573197
96.4820048	-24.3022508
96.18709823	-23.32096905
95.91071332	-22.38745384
95.65086652	-21.4977766
95.40585992	-20.64844285
95.17423064	-19.83633335
94.95471073	-19.05865458
94.74619509	-18.31289676
94.5477156	-17.59679824
94.35842007	-16.90831517
94.17755499	-16.24559545
94.00445132	-15.60695639
93.83851272	-14.99086544
93.67920565	-14.39592348
93.52605116	-13.82085032
93.37861786	-13.26447211
93.23651602	-12.72571023
93.09939254	-12.20357166
92.9669266	-11.69714043
92.83882598	-11.20557013
92.71482382	-10.7280773
92.5946759	-10.26393549
92.47815814	-9.81247007
92.36506458	-9.373053574
92.25520549	-8.945101532
92.14840576	-8.528068755
92.04450349	-8.121446006
91.94334868	-7.724756996
91.8448022	-7.337555696
91.74873471	-6.959423898
91.65502585	-6.589969019
91.5635634	-6.228822114
91.47424262	-5.875636067
91.38696558	-5.530083958
91.30164062	-5.191857564
91.21818184	-4.860666008
91.13650863	-4.536234513
91.05654524	-4.218303272
90.97822043	-3.90662641
90.90146714	-3.600971032
90.82622212	-3.301116351
90.75242571	-3.006852886
90.68002155	-2.717981723
90.60895638	-2.434313838
90.53917975	-2.155669468
90.47064393	-1.881877528
90.40330362	-1.612775085
90.33711588	-1.348206853
90.27203991	-1.088024739
90.20803694	-0.8320874151
90.1450701	-0.5802599256
90.08310429	-0.3324133165
90.02210609	-0.08842429581
89.96204364	0.1518250858
89.90288653	0.3884477311
89.84460577	0.6215517729
89.78717364	0.851240833
89.73056367	1.077614263
89.67475053	1.300767369
89.61970999	1.520791626
89.56541885	1.737774873
89.51185488	1.9518015
89.45899679	2.162952619
89.40682413	2.371306232
89.3553173	2.576937383
89.30445749	2.779918299
89.25422659	2.980318531
89.20460725	3.178205077
89.15558275	3.373642506
89.10713702	3.566693071
89.0592546	3.757416813
89.01192058	3.945871665
88.96512063	4.132113549
88.91884092	4.316196461
88.87306812	4.498172561
88.82778937	4.678092252
88.78299228	4.856004256
88.73866486	5.031955686
88.69479556	5.205992117
88.65137321	5.378157647
88.60838701	5.548494964
88.56582654	5.717045399
88.52368169	5.883848985
88.48194271	6.04894451
88.44060015	6.212369564
88.39964487	6.374160591
88.359068	6.53435293
88.31886097	6.692980863
88.27901546	6.850077652
88.23952342	7.005675581
88.20037702	7.159805992
88.1615687	7.312499319
88.12309109	7.463785128
88.08493706	7.613692141
88.04709967	7.762248275
88.00957221	7.909480666
87.97234813	8.0554157
87.93542109	8.200079038
87.8987849	8.343495645
87.86243358	8.485689811
87.82636129	8.626685179
87.79056235	8.766504761
87.75503125	8.905170967
87.7197626	9.042705622
87.68475119	9.179129986
87.64999192	9.314464773
87.61547983	9.448730171
87.58121009	9.581945858
87.547178	9.714131016
87.51337897	9.845304356
87.47980853	9.975484123
87.44646232	10.10468812
87.41333609	10.23293371
87.38042571	10.36023785
87.34772711	10.48661707
87.31523637	10.61208755
87.28294961	10.73666503
87.2508631	10.86036494
87.21897315	10.98320232
87.18727617	11.10519186
87.15576868	11.22634794
87.12444723	11.34668459
87.0933085	11.46621553
87.06234921	11.58495419
87.03156617	11.70291368
87.00095625	11.82010683
86.9705164	11.9365462
86.94024364	12.05224406
86.91013503	12.16721242
86.88018772	12.28146305
86.85039891	12.39500745
86.82076586	12.50785688
86.79128589	12.62002238
86.76195638	12.73151474
86.73277474	12.84234453
86.70373847	12.95252213
86.67484509	13.06205768
86.64609219	13.17096112
86.61747739	13.27924221
86.58899838	13.38691047
86.56065288	13.49397529
86.53243866	13.60044584
86.50435352	13.70633111
86.47639533	13.81163993
86.44856197	13.91638095
86.42085138	14.02056266
86.39326154	14.12419338
86.36579045	14.2272813
86.33843616	14.32983441
86.31119676	14.4318606
86.28407037	14.53336758
86.25705513	14.63436293
86.23014923	14.7348541
86.20335089	14.83484839
86.17665837	14.93435297
86.15006993	15.0333749
86.12358389	15.13192109
86.09719858	15.22999834
86.07091238	15.32761334
86.04472368	15.42477264
86.0186309	15.52148271
85.99263248	15.61774987
85.96672691	15.71358037
85.94091267	15.80898032
85.9151883	15.90395574
85.88955233	15.99851257
85.86400334	16.09265662
85.83853992	16.18639361
85.81316069	16.27972919
85.78786427	16.3726689
85.76264934	16.46521818
85.73751455	16.5573824
85.71245862	16.64916684
85.68748026	16.74057669
85.6625782	16.83161706
85.6377512	16.92229299
85.61299804	17.01260944
85.5883175	17.10257127
85.56370839	17.19218329
85.53916954	17.28145024
85.51469979	17.37037676
85.49029799	17.45896745
85.46596303	17.54722682
85.44169379	17.63515934
85.41748917	17.72276937
85.39334809	17.81006126
85.36926949	17.89703925
85.34525232	17.98370754
85.32129553	18.07007027
85.29739811	18.15613153
85.27355903	18.24189532
85.24977731	18.32736562
85.22605194	18.41254634
85.20238197	18.49744132
85.17876642	18.58205438
85.15520435	18.66638926
85.13169482	18.75044966
85.1082369	18.83423922
85.08482967	18.91776156
85.06147223	19.00102022
85.03816368	19.0840187
85.01490313	19.16676048
84.99168972	19.24924895
84.96852257	19.3314875
84.94540083	19.41347946
84.92232365	19.49522809
84.89929019	19.57673666
84.87629964	19.65800836
84.85335115	19.73904635
84.83044394	19.81985377
84.80757718	19.90043369
84.78475009	19.98078916
84.76196189	20.06092321
84.73921178	20.14083879
84.716499	20.22053886
84.69382279	20.30002631
84.67118239	20.37930403
84.64857705	20.45837484
84.62600603	20.53724155
84.60346858	20.61590695
84.58096399	20.69437376
84.55849153	20.77264471
84.53605048	20.85072246
84.51364013	20.92860969
84.49125979	21.006309
84.46890874	21.08382299
84.4465863	21.16115423
84.42429178	21.23830525
84.4020245	21.31527858
84.37978379	21.39207669
84.35756896	21.46870204
84.33537936	21.54515708
84.31321433	21.6214442
84.29107321	21.6975658
84.26895534	21.77352424
84.24686009	21.84932185
84.22478681	21.92496096
84.20273485	22.00044384
84.1807036	22.07577278
84.15869241	22.15095003
84.13670067	22.2259778
84.11472774	22.30085831
84.09277302	22.37559375
84.07083589	22.45018627
84.04891574	22.52463803
84.02701196	22.59895116
84.00512395	22.67312776
83.9832511	22.74716993
83.96139283	22.82107973
83.93954853	22.89485922
83.91771762	22.96851044
83.89589951	23.04203541
83.87409361	23.11543613
83.85229934	23.18871458
83.83051612	23.26187274
83.80874337	23.33491257
83.78698052	23.40783599
83.765227	23.48064494
83.74348223	23.55334133
83.72174565	23.62592704
83.70001669	23.69840397
83.67829478	23.77077397
83.65657938	23.8430389
83.6348699	23.9152006
83.61316581	23.9872609
83.59146653	24.05922161
83.56977152	24.13108453
83.54808022	24.20285145
83.52639209	24.27452415
83.50470656	24.3461044
83.48302309	24.41759394
83.46134113	24.48899452
83.43966014	24.56030787
83.41797956	24.63153571
83.39629886	24.70267975
83.3746175	24.7737417
83.35293491	24.84472324
83.33125057	24.91562606
83.30956394	24.98645182
83.28787447	25.05720218
83.26618161	25.12787881
83.24448484	25.19848333
83.22278362	25.26901739
83.20107739	25.33948262
83.17936563	25.40988063
83.15764779	25.48021303
83.13592334	25.55048143
83.11419174	25.62068742
83.09245245	25.69083258
83.07070493	25.76091851
83.04894864	25.83094676
83.02718304	25.90091892
83.00540759	25.97083653
82.98362176	26.04070116
82.96182501	26.11051434
82.94001678	26.18027763
82.91819655	26.24999256
82.89636376	26.31966066
82.87451789	26.38928345
82.85265837	26.45886245
82.83078468	26.52839918
82.80889625	26.59789515
82.78699256	26.66735186
82.76507305	26.73677082
82.74313716	26.80615351
82.72118436	26.87550144
82.6992141	26.94481608
82.6772258	27.01409893
82.65521894	27.08335147
82.63319294	27.15257517
82.61114726	27.2217715
82.58908133	27.29094195
82.56699459	27.36008797
82.54488649	27.42921103
82.52275645	27.49831259
82.50060391	27.56739412
82.47842831	27.63645708
82.45622907	27.70550291
82.43400563	27.77453307
82.4117574	27.84354902
82.38948381	27.91255221
82.36718428	27.98154408
82.34485823	28.05052608
82.32250508	28.11949967
82.30012423	28.18846628
82.2777151	28.25742737
82.2552771	28.32638438
82.23280963	28.39533874
82.21031209	28.46429191
82.18778388	28.53324534
82.1652244	28.60220046
82.14263304	28.67115871
82.12000918	28.74012155
82.09735222	28.80909042
82.07466153	28.87806677
82.0519365	28.94705204
82.02917649	29.01604768
82.00638088	29.08505514
81.98354904	29.15407587
81.96068033	29.22311132
81.9377741	29.29216295
81.91482973	29.36123221
81.89184654	29.43032057
81.8688239	29.49942947
81.84576114	29.56856039
81.8226576	29.63771479
81.79951261	29.70689413
81.77632551	29.7760999
81.75309561	29.84533355
81.72982223	29.91459657
81.70650469	29.98389044
81.6831423	30.05321664
81.65973436	30.12257666
81.63628016	30.191972
81.612779	30.26140415
81.58923016	30.3308746
81.56563293	30.40038486
81.54198658	30.46993645
81.51829038	30.53953088
81.49454359	30.60916966
81.47074546	30.67885433
81.44689526	30.7485864
81.42299222	30.81836742
81.39903559	30.88819893
81.37502458	30.95808247
81.35095843	31.02801959
81.32683635	31.09801187
81.30265755	31.16806086
81.27842123	31.23816814
81.25412659	31.30833528
81.22977282	31.37856387
81.2053591	31.44885552
81.18088459	31.51921181
81.15634846	31.58963436
81.13174987	31.66012479
81.10708796	31.73068473
81.08236188	31.8013158
81.05757075	31.87201965
81.0327137	31.94279793
81.00778983	32.01365231
80.98279825	32.08458445
80.95773805	32.15559603
80.93260833	32.22668875
80.90740814	32.2978643
80.88213657	32.36912439
80.85679265	32.44047074
80.83137544	32.51190508
80.80588397	32.58342916
80.78031727	32.65504473
80.75467434	32.72675354
80.72895419	32.79855739
80.7031558	32.87045805
80.67727816	32.94245733
80.65132023	33.01455703
80.62528096	33.086759
80.59915931	33.15906505
80.57295419	33.23147706
80.54666452	33.30399687
80.52028921	33.37662638
80.49382716	33.44936747
80.46727723	33.52222205
80.44063829	33.59519206
80.41390919	33.66827941
80.38708877	33.74148608
80.36017585	33.81481403
80.33316923	33.88826524
80.3060677	33.96184171
80.27887005	34.03554547
80.25157502	34.10937855
80.22418136	34.18334301
80.19668781	34.25744091
80.16909306	34.33167434
80.14139582	34.40604542
80.11359476	34.48055627
80.08568854	34.55520902
80.0576758	34.63000586
80.02955516	34.70494896
80.00132523	34.78004054
79.97298458	34.85528281
79.94453179	34.93067802
79.91596539	35.00622845
79.88728391	35.08193639
79.85848585	35.15780415
79.8295697	35.23383406
79.80053392	35.31002849
79.77137693	35.38638982
79.74209717	35.46292046
79.71269301	35.53962285
79.68316284	35.61649944
79.65350498	35.69355272
79.62371777	35.7707852
79.5937995	35.84819941
79.56374843	35.92579792
79.53356282	36.00358333
79.50324087	36.08155825
79.47278077	36.15972534
79.44218069	36.23808727
79.41143875	36.31664676
79.38055307	36.39540655
79.34952171	36.47436941
79.31834272	36.55353814
79.2870141	36.63291558
79.25553385	36.71250461
79.2238999	36.79230812
79.19211018	36.87232905
79.16016255	36.95257038
79.12805487	37.03303512
79.09578495	37.11372632
79.06335056	37.19464706
79.03074944	37.27580045
78.99797928	37.35718968
78.96503775	37.43881793
78.93192246	37.52068844
78.898631	37.60280451
78.8651609	37.68516946
78.83150965	37.76778665
78.79767472	37.8506595
78.7636535	37.93379147
78.72944336	38.01718606
78.6950416	38.10084682
78.6604455	38.18477736
78.62565228	38.26898131
78.59065909	38.35346237
78.55546306	38.4382243
78.52006125	38.52327089
78.48445066	38.608606
78.44862826	38.69423353
78.41259093	38.78015744
78.37633551	38.86638176
78.33985878	38.95291055
78.30315747	39.03974796
78.26622822	39.12689818
78.22906762	39.21436546
78.19167221	39.30215414
78.15403843	39.39026858
78.11616268	39.47871324
78.07804126	39.56749263
78.03967043	39.65661135
78.00104636	39.74607404
77.96216512	39.83588543
77.92302275	39.92605032
77.88361516	40.01657359
77.84393821	40.10746017
77.80398766	40.19871511
77.76375918	40.29034351
77.72324836	40.38235057
77.6824507	40.47474154
77.64136158	40.5675218
77.59997631	40.66069679
77.55829008	40.75427205
77.516298	40.8482532
77.47399504	40.94264597
77.43137609	41.03745616
77.38843592	41.13268971
77.34516917	41.22835262
77.30157038	41.32445101
77.25763395	41.42099111
77.21335417	41.51797924
77.16872518	41.61542186
77.12374102	41.71332551
77.07839556	41.81169687
77.03268254	41.91054272
76.98659555	42.00986998
76.94012803	42.10968569
76.89327328	42.209997
76.84602441	42.31081122
76.79837439	42.41213577
76.75031601	42.51397822
76.70184188	42.61634627
76.65294445	42.71924779
76.60361595	42.82269076
76.55384844	42.92668334
76.50363377	43.03123385
76.45296361	43.13635074
76.40182937	43.24204266
76.35022228	43.3483184
76.29813333	43.45518695
76.24555327	43.56265745
76.19247262	43.67073924
76.13888164	43.77944185
76.08477034	43.88877499
76.03012844	43.99874857
75.97494541	44.10937272
75.91921041	44.22065775
75.86291233	44.33261421
75.80603972	44.44525287
75.74858084	44.5585847
75.69052359	44.67262093
75.63185556	44.78737303
75.57256396	44.90285269
75.51263564	45.01907189
75.45205707	45.13604284
75.39081432	45.25377803
75.32889305	45.37229024
75.26627851	45.49159252
75.20295547	45.61169822
75.13890827	45.73262098
75.07412077	45.85437476
75.00857632	45.97697385
74.94225775	46.10043285
74.87514737	46.22476671
74.80722692	46.34999074
74.73847756	46.4761206
74.66887983	46.60317232
74.59841367	46.73116233
74.52705833	46.86010745
74.45479239	46.99002489
74.38159371	47.12093232
74.30743942	47.25284781
74.23230585	47.38578991
74.15616853	47.51977761
74.07900214	47.6548304
74.00078048	47.79096826
73.9214764	47.92821168
73.84106182	48.06658169
73.75950762	48.20609984
73.67678364	48.34678829
73.59285859	48.48866976
73.50770004	48.63176757
73.42127433	48.77610569
73.33354654	48.92170872
73.24448039	49.06860195
73.15403823	49.21681136
73.0621809	49.36636364
72.96886772	49.51728624
72.87405637	49.6696074
72.77770285	49.82335612
72.67976132	49.97856228
72.58018409	50.1352566
72.47892146	50.29347069
72.37592162	50.45323711
72.27113057	50.61458937
72.16449197	50.77756198
72.05594701	50.9421905
71.9454343	51.10851158
71.83288968	51.27656296
71.71824611	51.44638359
71.60143344	51.61801359
71.4823783	51.79149437
71.36100385	51.96686864
71.23722961	52.14418049
71.11097121	52.32347541
70.98214017	52.50480038
70.85064362	52.68820391
70.71638404	52.87373613
70.57925898	53.06144882
70.43916068	53.2513955
70.29597579	53.44363153
70.14958494	53.63821412
69.99986237	53.83520248
69.84667546	54.03465786
69.68988428	54.23664365
69.52934108	54.44122549
69.36488967	54.64847132
69.19636489	54.85845155
69.02359188	55.07123911
68.84638539	55.28690956
68.66454898	55.50554126
68.47787416	55.72721543
68.28613945	55.95201631
68.08910931	56.18003129
67.88653305	56.41135102
67.67814357	56.64606959
67.46365597	56.88428466
67.24276606	57.12609758
67.01514868	57.37161362
66.78045585	57.62094206
66.53831476	57.87419639
66.28832548	58.1314945
66.03005845	58.3929588
65.7630517	58.65871642
65.48680775	58.92889939
65.20079008	59.2036448
64.9044193	59.48309495
64.59706875	59.76739752
64.27805965	60.05670573
63.94665553	60.35117842
63.60205608	60.65098019
63.24339006	60.95628144
62.86970742	61.2672584
62.47997022	61.58409311
62.07304235	61.90697329
61.64767784	62.23609217
61.20250742	62.57164816
60.73602318	62.91384439
60.24656084	63.26288806
59.73227948	63.61898957
59.19113795	63.98236132
58.62086766	64.35321617
58.01894089	64.73176541
57.38253401	65.11821613
56.70848442	65.51276789
55.99324023	65.91560834
55.23280122	66.32690774
54.4226495	66.74681191
53.55766781	67.17543325
52.63204328	67.61283923
51.63915395	68.0590378
50.57143485	68.51395868
49.42022053	68.97742945
48.17556007	69.44914493
46.82600135	69.9286279
45.3583416	70.41517867
43.75734326	70.90781025
42.00541769	71.40516503
40.08228652	71.90540781
37.9646422	72.40608876
35.62585039	72.90396884
33.03577002	73.39479939
30.16081792	73.87304768
26.96447945	74.33156304
23.40856172	74.76118462
19.45558876	75.15030609
15.07279558	75.48443712
10.23808576	75.74583735
4.947904709	75.91334186
359.2260817	75.9625266
353.1313613	75.86634222
346.7601629	75.5962313
340.2412454	75.12353103
333.7213971	74.42073123
327.3453618	73.46206101
321.2363375	72.22302398
315.4830455	70.67882418
310.1358584	68.80191042
305.2105117	66.55895127
300.6958892	63.90743826
296.5625354	60.79192452
292.7698154	57.13976482
289.2708906	52.85622537
286.0154372	47.81909817
282.9502879	41.87375736
280.0180598	34.83152196
277.1534326	26.47823449
274.2759906	16.60686532
271.2771258	5.094610968
267.9955615	-7.964421374
264.1692347	-22.11495419
259.3334977	-36.51507828
252.5858238	-50.12641162
242.0083997	-61.95753539
223.4965734	-70.9845093
192.3244801	-75.64618651
158.6615537	-74.97592926
137.3353012	-71.22287315
125.5467148	-66.7312646
118.5226112	-62.36550803
113.9291836	-58.35198656
110.6944023	-54.72262365
108.2855858	-51.45203617
106.4140576	-48.50032402
104.9113028	-45.82703116
